"Category","Impact","Risk","Problem","Solution","ImpactedField","ImpactedValue","ResourceId","ResourceName","ResourceType","ResourceGroupName","LastUpdated","RecommendationId","Id"
"Security","Low",,"Azure Backup should be enabled for virtual machines","Azure Backup should be enabled for virtual machines","Microsoft.Compute/virtualMachines","vm-nwri-dst-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe","vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/15/2026 05:22:51","8ae9c03b08d03b178f511f1aaff58d5b49d3aadd866a6022edcd0ac392e02b0e","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe/providers/Microsoft.Advisor/recommendations/8ae9c03b08d03b178f511f1aaff58d5b49d3aadd866a6022edcd0ac392e02b0e"
"Security","Low",,"Azure Backup should be enabled for virtual machines","Azure Backup should be enabled for virtual machines","Microsoft.Compute/virtualMachines","vm-nwri-src-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe","vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/15/2026 05:22:49","e04a324ae9a1ddf09f718b1222efbbefd071bb8b5c0b15b9c629674b268af35c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe/providers/Microsoft.Advisor/recommendations/e04a324ae9a1ddf09f718b1222efbbefd071bb8b5c0b15b9c629674b268af35c"
"Security","Medium",,"Storage account should use a private link connection","Storage account should use a private link connection","Microsoft.Storage/storageAccounts","nwrilkb2l5f6fuhds","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds","nwrilkb2l5f6fuhds","Microsoft.Storage/storageAccounts","rg-nwri-jpe-20260709","07/15/2026 05:34:06","b54eccc2dafdb85aa84383757bb86eabc1949e15be7dea664dbd1a792fe4a1b4","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds/providers/Microsoft.Advisor/recommendations/b54eccc2dafdb85aa84383757bb86eabc1949e15be7dea664dbd1a792fe4a1b4"
"Security","Medium",,"Storage accounts should restrict network access using virtual network rules","Storage accounts should restrict network access using virtual network rules","Microsoft.Storage/storageAccounts","nwrilkb2l5f6fuhds","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds","nwrilkb2l5f6fuhds","Microsoft.Storage/storageAccounts","rg-nwri-jpe-20260709","07/15/2026 13:08:33","52891f4803c11c69e615fbe0e7975a9aa5168d9c3aa5d50d4e27495dd3ebf64b","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds/providers/Microsoft.Advisor/recommendations/52891f4803c11c69e615fbe0e7975a9aa5168d9c3aa5d50d4e27495dd3ebf64b"
"Security","Low",,"Access to storage accounts with firewall and virtual network configurations should be restricted","Access to storage accounts with firewall and virtual network configurations should be restricted","Microsoft.Storage/storageAccounts","nwrilkb2l5f6fuhds","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds","nwrilkb2l5f6fuhds","Microsoft.Storage/storageAccounts","rg-nwri-jpe-20260709","07/16/2026 00:35:32","06631e6e7545a0c234aebcf765ec754f0855ff2b1d2de4786617aed38921876f","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.storage/storageaccounts/nwrilkb2l5f6fuhds/providers/Microsoft.Advisor/recommendations/06631e6e7545a0c234aebcf765ec754f0855ff2b1d2de4786617aed38921876f"
"Security","Medium",,"Guest Configuration extension should be installed on machines","Guest Configuration extension should be installed on machines","Microsoft.Compute/virtualMachines","vm-nwri-src-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe","vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/16/2026 05:33:49","fa7e44efa4622cf14fe6f74bfb06fde7fce4a7b91fb5c82eca261a3a9abdaf85","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe/providers/Microsoft.Advisor/recommendations/fa7e44efa4622cf14fe6f74bfb06fde7fce4a7b91fb5c82eca261a3a9abdaf85"
"Security","Medium",,"Guest Configuration extension should be installed on machines","Guest Configuration extension should be installed on machines","Microsoft.Compute/virtualMachines","vm-nwri-dst-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe","vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/16/2026 05:34:04","4263ea42af60140d428aa8b2f586bbdf74b5f6bc3e19e29db00e7333bae36eb4","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe/providers/Microsoft.Advisor/recommendations/4263ea42af60140d428aa8b2f586bbdf74b5f6bc3e19e29db00e7333bae36eb4"
"Security","High",,"Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","Microsoft.Compute/virtualMachines","vm-nwri-dst-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe","vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/16/2026 10:44:47","047507986add6d6e7e5c78a0702798a889fd9644b417b8db5949229577be3476","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-dst-jpe/providers/Microsoft.Advisor/recommendations/047507986add6d6e7e5c78a0702798a889fd9644b417b8db5949229577be3476"
"Security","High",,"Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","Microsoft.Compute/virtualMachines","vm-nwri-src-jpe","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe","vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","07/16/2026 10:44:47","86696776d18ccb6d40e49f54afba267b3f2123bfa785d0ab4eedd8b6f4dfad9c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-nwri-jpe-20260709/providers/microsoft.compute/virtualmachines/vm-nwri-src-jpe/providers/Microsoft.Advisor/recommendations/86696776d18ccb6d40e49f54afba267b3f2123bfa785d0ab4eedd8b6f4dfad9c"
"HighAvailability","High",,"Upgrade to a newer SKU of Virtual Machine image","Upgrade to a newer SKU of Virtual Machine image","MICROSOFT.COMPUTE/VIRTUALMACHINES","vm-amig-appl-001","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-migrate-demo-je-001/providers/microsoft.compute/virtualmachines/vm-amig-appl-001","vm-amig-appl-001","MICROSOFT.COMPUTE/VIRTUALMACHINES","rg-migrate-demo-je-001","07/17/2026 10:31:28","5e91679eef9679e15dab85103d846eb63d76b2857d93dd11ef5960e9de46f3e7","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-migrate-demo-je-001/providers/microsoft.compute/virtualmachines/vm-amig-appl-001/providers/Microsoft.Advisor/recommendations/5e91679eef9679e15dab85103d846eb63d76b2857d93dd11ef5960e9de46f3e7"
"HighAvailability","High",,"Upgrade to a newer SKU of Virtual Machine image","Upgrade to a newer SKU of Virtual Machine image","MICROSOFT.COMPUTE/VIRTUALMACHINES","vm-amig-win-001","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-migrate-demo-je-001/providers/microsoft.compute/virtualmachines/vm-amig-win-001","vm-amig-win-001","MICROSOFT.COMPUTE/VIRTUALMACHINES","rg-migrate-demo-je-001","07/17/2026 10:31:37","e00b3ea48c222a4288756b4025d1433752d02e8e6e05b1902ae4333b21ed6c3c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/rg-migrate-demo-je-001/providers/microsoft.compute/virtualmachines/vm-amig-win-001/providers/Microsoft.Advisor/recommendations/e00b3ea48c222a4288756b4025d1433752d02e8e6e05b1902ae4333b21ed6c3c"
