"Name","ResourceType","ResourceGroupName","Location","SubscriptionId","Sku","Kind","Tags","ResourceId"
"vm-pw-ops-dev-jpw-27161/MDE.Linux","Microsoft.Compute/virtualMachines/extensions","RG-PW-OPS-DEV-JPE-27161","japanwest","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-PW-OPS-DEV-JPE-27161/providers/Microsoft.Compute/virtualMachines/vm-pw-ops-dev-jpw-27161/extensions/MDE.Linux"
"vm-pw-ops-dev-jpw-27161VNET-vm-pw-ops-dev-jpw-27161Subnet-nsg-japanwest","Microsoft.Network/networkSecurityGroups","rg-pw-ops-dev-jpe-27161","japanwest","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-pw-ops-dev-jpe-27161/providers/Microsoft.Network/networkSecurityGroups/vm-pw-ops-dev-jpw-27161VNET-vm-pw-ops-dev-jpw-27161Subnet-nsg-japanwest"
"nsg-nwri-workload-jpe","Microsoft.Network/networkSecurityGroups","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-workload-jpe"
"nwrilkb2l5f6fuhds","Microsoft.Storage/storageAccounts","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS","StorageV2","purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Storage/storageAccounts/nwrilkb2l5f6fuhds"
"vnet-nwri-jpe","Microsoft.Network/virtualNetworks","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"createdBy=GitHubCopilotBrowserAutomation;demoTheme=network-watcher-rule-impact;purpose=demo;owner=csa;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/virtualNetworks/vnet-nwri-jpe"
"vm-nwri-dst-jpe-nic","Microsoft.Network/networkInterfaces","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkInterfaces/vm-nwri-dst-jpe-nic"
"vm-nwri-src-jpe-nic","Microsoft.Network/networkInterfaces","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkInterfaces/vm-nwri-src-jpe-nic"
"vm-nwri-dst-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-dst-jpe"
"vm-nwri-src-jpe","Microsoft.Compute/virtualMachines","rg-nwri-jpe-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc",,,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Compute/virtualMachines/vm-nwri-src-jpe"
"vm-nwri-dst-jpe_disk1_8ab5bd0fba01487db8fdadb3a014522b","Microsoft.Compute/disks","RG-NWRI-JPE-20260709","japaneast","1acecba7-23bd-4d4d-9770-0b11998514dc","Standard_LRS",,"purpose=demo;owner=csa;demoTheme=network-watcher-rule-impact;createdBy=GitHubCopilotBrowserAutomation;deleteAfter=2026-07-31","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/RG-NWRI-JPE-20260709/providers/Microsoft.Compute/disks/vm-nwri-dst-jpe_disk1_8ab5bd0fba01487db8fdadb3a014522b"
