"DisplayName","SignInName","ObjectId","ObjectType","RoleDefinitionName","RoleDefinitionId","Scope","ScopeKind","ConditionVersion","Condition","Description","RoleAssignmentId"
,,"7d2b69ae-0735-4d79-a919-08568005bdc2","ServicePrincipal","Owner","8e3af657-a8ff-443c-a75c-2fe8c4bcb635","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/d4a53b2d-cbe7-4be0-aaad-1e0dafd1bb20"
,,"d901980f-43b1-42fb-895a-3e69530491eb","ServicePrincipal","Owner","8e3af657-a8ff-443c-a75c-2fe8c4bcb635","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/6a23c5d2-de48-45d1-a9ca-53b513db0d23"
,,"14f720fd-fd42-429c-b3e1-b865c7f3bf93","User","Owner","8e3af657-a8ff-443c-a75c-2fe8c4bcb635","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/e2ebaed4-4b13-4427-ae5c-89a91b21f64a"
,,"6ac089bd-f818-4f9e-b27c-72302a32b310","ServicePrincipal","Defender Agentless VM Scan","d24ecba3-c1f4-40fa-a7bb-4588a071e8fd","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/37fa5db5-76cd-45f0-8c24-083116afd91b"
,,"ae960fd0-e64e-4360-9bf9-1fa5339636a5","ServicePrincipal","Virtual Machine Contributor","9980e02c-c2be-4d73-94e8-173b1dc7cf3c","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/63ce15d3-35ce-4197-9b17-a4e397c50c20"
,,"ae960fd0-e64e-4360-9bf9-1fa5339636a5","ServicePrincipal","Managed Identity Operator","f1a07417-d97a-45cb-824c-7a7467783830","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/38a61bca-044c-42d8-a9fd-ad15f0a0bead"
,,"ae960fd0-e64e-4360-9bf9-1fa5339636a5","ServicePrincipal","Log Analytics Contributor","92aaf0da-9dab-42b6-94a3-d43ce8d16293","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/79c1fa2c-74b0-42c9-b24e-d3d645adc23c"
,,"0600fd0e-b32a-4cf4-b23d-a1d9820262fd","ServicePrincipal","Defender For Container Registries Operator","c5c82243-e78e-43f9-8428-793bba85b28e","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/c80532d5-f4e2-4365-939e-da3a4542e5b2"
,,"0600fd0e-b32a-4cf4-b23d-a1d9820262fd","ServicePrincipal","Defender Kubernetes API Access","d5a2ae44-610b-4500-93be-660a0c5f5ca6","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/bab4a753-3452-4a5e-a570-3c8ba264b58d"
,,"0600fd0e-b32a-4cf4-b23d-a1d9820262fd","ServicePrincipal","Managed Identity Federated Identity Credential Contributor","7e559ce2-48d7-4b27-9128-fa1b247f1308","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/9eae42ba-a84b-4948-a209-e51478f25de0"
,,"0600fd0e-b32a-4cf4-b23d-a1d9820262fd","ServicePrincipal","Kubernetes Agent Subscription Level Operator","ada52afe-776a-4b4d-a8f2-55670d3d8178","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/d5f3b60d-84cd-4b88-b322-74e0924b7f16"
,,"0600fd0e-b32a-4cf4-b23d-a1d9820262fd","ServicePrincipal","Defender Containers Sensor","5e93ba01-8f92-4c7a-b12a-801e3df23824","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/a76f56d5-8ca6-4f8d-8fcd-94bdabaf1d04"
,,"326052b1-0566-4483-a588-830fecebf951","ServicePrincipal","EventGrid Contributor","1e241071-0855-49ea-94dc-649edcd759de","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/b3aa7f15-25cd-41fb-97f5-685473a0ada3"
,,"326052b1-0566-4483-a588-830fecebf951","ServicePrincipal","Defender for Storage Scanner Operator","0f641de8-0b88-4198-bdef-bd8b45ceba96","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/bfb8dffe-5591-4c66-bd03-e7f1e0d59b26"
,,"8eb1981c-b656-41c0-9640-1fc6301a67ba","ServicePrincipal","Defender for Storage Data Scanner","1e7ca9b1-60d1-4db8-a914-f2ca1ff27c40","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/8e12b086-4ec1-08b5-f5f7-22d8e7baa5fb"
,,"f353330c-b1f0-44f4-9624-d1ead05bdbd3","ServicePrincipal","Defender CSPM Storage Scanner Operator","8480c0f0-4509-4229-9339-7c10018cb8c4","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/f2f422f8-d1e7-48ec-989e-7996498caf4f"
,,"f353330c-b1f0-44f4-9624-d1ead05bdbd3","ServicePrincipal","Defender For Container Registries Operator","c5c82243-e78e-43f9-8428-793bba85b28e","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/e5b3251e-de7f-4448-bac2-3364927073a2"
,,"f353330c-b1f0-44f4-9624-d1ead05bdbd3","ServicePrincipal","Defender Kubernetes API Access","d5a2ae44-610b-4500-93be-660a0c5f5ca6","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/45e879eb-3567-4f49-b3fb-0e4f1767a367"
,,"f353330c-b1f0-44f4-9624-d1ead05bdbd3","ServicePrincipal","Defender API Security","6f91a4f9-10ee-4b95-b8cd-96ee73c5968d","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/cb53df22-4eb1-4669-85e9-84cacc2e0af0"
,,"f353330c-b1f0-44f4-9624-d1ead05bdbd3","ServicePrincipal","Defender Serverless Scanner","68ac31b4-936a-4046-a6d2-ba6f8a757bf6","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/85c2247c-6f4c-4c05-a6cf-0471eb27b715"
,,"8eb1981c-b656-41c0-9640-1fc6301a67ba","ServicePrincipal","Defender Sensitive Data Discovery","0b6ca2e8-2cdc-4bd6-b896-aa3d8c21fc35","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/90231f8d-d6c9-410b-a30b-92dd38c28862"
,,"cedc52ce-02c8-47f1-8bb2-c4465de0baec","ServicePrincipal","Reader","acdd72a7-3385-48ef-bd42-f606fba81ae7","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/778580a5-4b7b-4771-8f0b-ce60f2e2f653"
,,"14f720fd-fd42-429c-b3e1-b865c7f3bf93","User","Foundry User","53ca6127-db72-4b80-b1b0-d745d6d5456d","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/test01/providers/Microsoft.CognitiveServices/accounts/Foundry-test-csa","Resource",,,"Azure AI User role granted to the resource creator at create time.","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourcegroups/test01/providers/Microsoft.CognitiveServices/accounts/Foundry-test-csa/providers/Microsoft.Authorization/roleAssignments/32e17036-c04f-57d1-97f4-05ba46457357"
,,"9a2d1b4b-4cf1-4ff7-afe0-4ce2358a707b","ServicePrincipal","Reader","acdd72a7-3385-48ef-bd42-f606fba81ae7","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/7dc36170-16a4-4338-9397-3d59a861467c"
,,"9a2d1b4b-4cf1-4ff7-afe0-4ce2358a707b","ServicePrincipal","Security Reader","39bc4728-0917-49c7-9d2c-d95423bc2eb4","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc","Subscription",,,,"/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/providers/Microsoft.Authorization/roleAssignments/ea52080f-ee1f-4cd5-894f-81b640718cd6"
